temp,date
-7.5,12-Jan-1918
-4.5,05-Jan-1920
-4.5,18-Jan-1940
-7.0,16-Jan-1977
-8.0,10-Jan-1982
-8.5,24-Dec-1983
-8.5,20-Jan-1985
-8.5,22-Dec-1989
-5.0,23-Dec-1989
