temp,date
2,12-Jan-1918
2,05-Jan-1924
1,01-Jan-1928
2,23-Jan-1936
0,16-Jan-1977
-1,10-Jan-1982
2,19-Dec-1983
0,23-Dec-1983
-5,24-Dec-1983
1,20-Jan-1985
-1,22-Dec-1989
2,18-Jan-1994
2,06-Jan-2014
