temp,date
-14,11-Jan-1918
-17,12-Jan-1918
-14,17-Jan-1930
-19,18-Jan-1930
-14,22-Jan-1930
-14,27-Jan-1936
-14,19-Jan-1940
-14,16-Jan-1977
-15,10-Jan-1982
-18,20-Jan-1985
-16,22-Dec-1989
-15,23-Dec-1989
-8,06-Jan-2014
